Location,Gun Ownership(percentage)
Alabama,48.9
Alaska,61.7
Arizona,32.3
Arkansas,57.9
California,19.8
Colorado,34.3
Connecticut,16.6
Delaware,5.2
District of Columbia,25.9
Florida,32.5
Georgia,31.6
Hawaii,45.1
Idaho,56.9
Illinois,26.2
Indiana,33.8
Iowa,33.8
Kansas,32.2
Kentucky,42.4
Louisiana,44.5
Maine,22.6
Maryland,20.7
Massachusetts,22.6
Michigan,28.8
Minnesota,36.7
Mississippi,42.8
Missouri,27.1
Montana,52.3
Nebraska,19.8
Nevada,37.5
New Hampshire,14.4
New Jersey,11.3
New York,10.3
New Mexico,49.9
North Carolina,28.7
North Dakota,47.9
Ohio,19.6
Oklahoma,31.2
Oregon,26.6
Pennsylvania,27.1
Rhode Island,5.8
South Carolina,44.4
South Dakota,35
Tennessee,39.4
Texas,35.7
Utah,31.9
Vermont,28.8
Virginia,29.3
Washington,27.7
West Virginia,54.2
Wisconsin,34.7
Wyoming,53.8
