id,name,abbreviation,Deathsgunfire
1,Alabama,AL,314.00
2,Alaska,AK,33.00
3,Arizona,AZ,141.00
4,Arkansas,AR,183.00
5,California,CA,747.00
6,Colorado,CO,193.00
7,Connecticut,CT,47.00
8,Delaware,DE,14.00
9,Florida,FL,420.00
10,Georgia,GA,416.00
11,Hawaii,HI,19.00
12,Idaho,ID,38.00
13,Illinois,IL,644.00
14,Indiana,IN,246.00
15,Iowa,IA,108.00
16,Kansas,KS,178.00
17,Kentucky,KY,625.00
18,Louisiana,LA,279.00
19,Maine,ME,28.00
20,Maryland,MD,136.00
21,Massachusetts,MA,127.00
22,Michigan,MI,323.00
23,Minnesota,MN,130.00
24,Mississippi,MS,179.00
25,Missouri,MO,401.00
26,Montana,MT,81.00
27,Nebraska,NE,70.00
28,Nevada,NV,62.00
29,New Hampshire,NH,17.00
30,New Jersey,NJ,157.00
31,New Mexico,NM,88.00
32,New York,NY,536.00
33,North Carolina,NC,316.00
34,North Dakota,ND,32.00
35,Ohio,OH,437.00
36,Oklahoma,OK,341.00
37,Oregon,OR,90.00
38,Pennsylvania,PA,428.00
39,Rhode Island,RI,21.00
40,South Carolina,SC,215.00
41,South Dakota,SD,25.00
42,Tennessee,TN,379.00
43,Texas,TX,1142.00
44,Utah,UT,69.00
45,Vermont,VT,6.00
46,Virginia,VA,282.00
47,Washington,WA,148.00
48,West Virginia,WV,143.00
49,Wisconsin,WI,124.00
50,Wyoming,WY,36.00
51,Washington DC,DC,0.00
